Number,Srpski,Српски
0,nula ,нула
1,jedan ,један
2,dva ,два
3,tri ,три
4,četiri ,четири
5,pet ,пет
6,šest ,шест
7,sedam ,седам
8,osam ,осам
9,devet ,девет
10,deset ,десет
11,jedanaest ,једанаест
12,dvanaest ,дванаест
13,trinaest ,тринаест
14,četrnaest ,четрнаест
15,petnaest ,петнаест
16,šesnaest ,шеснаест
17,sedamnaest ,седамнаест
18,osamnaest ,осамнаест
19,devetnaest ,деветнаест
20,dvadeset ,двадесет
30,trideset ,тридесет
40,četrdeset ,четрдесет
50,pedeset ,педесет
60,šezdeset ,шездесет
70,sedamdeset ,седамдесет
80,osamdeset ,осамдесет
90,devedeset ,деведесет
100,sto ,сто
200,dvesta ,двеста
300,trista ,триста
400,četiristo ,четиристо
500,petsto ,петсто
600,šeststo ,шестсто
700,sedamsto ,седамсто
800,osamsto ,осамсто
900,devetsto ,деветсто
1000,hiljadu ,хиљаду
2000,dve hiljade ,две хиљаде
3000,tri hiljade ,три хиљаде
4000,četiri hiljade ,четири хиљаде
5000,pet hiljada ,пет хиљада
6000,šest hiljada ,шест хиљада
7000,sedam hiljada ,седам хиљада
8000,osam hiljada ,осам хиљада
9000,devet hiljada ,девет хиљада
10,deset hiljada ,десет хиљада
100,sto hiljada ,сто хиљада
1.000.000 ,milion ,милион
10.000.000 ,deset miliona ,десет милиона
100.000.000 ,sto miliona ,сто милиона
1.000.000.000 ,milijarda ,милијарда
