,open,high,low,close,volume,diff,pct_change
2023-11-13,215.6,225.4,211.6101,223.71,140447569.0,-13.699999999999989,-0.05770607809275086
2023-11-08,223.15,224.15,217.64,222.11,106584841.0,12.130000000000024,0.05776740641965916
2023-11-01,204.04,205.99,197.85,205.66,121661656.0,-12.849999999999994,-0.05880737723673968
2023-10-27,210.6,212.41,205.77,207.3,94881173.0,9.939999999999998,0.05036481556546413
2023-10-18,252.7,254.63,242.08,242.68,125147846.0,22.569999999999993,0.10253963927127341
2023-10-17,250.1,257.183,247.08,254.85,93562909.0,12.169999999999987,0.05014834349760999
2023-10-03,248.61,250.02,244.45,246.53,101985305.0,-14.630000000000024,-0.05601929851432086
2023-09-08,251.22,256.52,246.67,248.5,118559635.0,-25.079999999999984,-0.09167336793625258
2023-08-31,255.98,261.18,255.05,258.08,108861698.0,13.069999999999993,0.053344761438308685
2023-08-28,242.58,244.38,235.35,238.82,107673727.0,-18.360000000000014,-0.07138968815615532
2023-08-18,214.12,217.58,212.36,215.49,136276584.0,-15.789999999999992,-0.06827222414389478
